03/04/2014 20:00
Results for 20 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,mynoxerr.Noxerr*,27895 (9%),16900,1260,8748,884,103,0,6,7,1
2nd,sample.Walls,22806 (8%),15700,1050,5564,380,106,6,5,5,0
3rd,sample.SpinBot,18468 (6%),11950,420,5564,239,289,6,2,3,0
4th,dummy.Dummy*,17118 (6%),13750,0,3136,156,76,0,0,0,3
5th,sample.Corners,16832 (6%),12800,0,3725,287,20,0,0,2,1
6th,sample.Tracker,16158 (5%),11150,0,4365,462,181,0,0,1,1
7th,sample.TrackFire,15890 (5%),10500,0,4903,488,0,0,0,0,1
8th,sample.Fire,15566 (5%),13000,0,2416,120,30,0,0,1,3
9th,sample.MyFirstRobot,14824 (5%),12500,420,1744,87,72,0,2,0,2
10th,sample.MyFirstJuniorRobot,14772 (5%),12000,420,2174,51,128,0,2,0,1
11th,sampleex.Alien,13728 (5%),11800,210,1643,15,61,0,1,0,0
12th,sample.Crazy,12871 (4%),10850,0,1665,25,330,0,0,1,1
13th,sampleex.AlienComposition,12729 (4%),10950,210,1467,31,71,0,1,0,2
14th,sample.PaintingRobot,12478 (4%),10750,210,1452,23,43,0,1,0,2
15th,sample.RamFire,11272 (4%),6950,0,3003,58,976,286,0,0,0
16th,sampleex.ProxyOfGreyEminence,11212 (4%),10000,0,1108,17,70,17,0,0,0
17th,sampleex.MasterAndSlave,10741 (4%),9450,0,1201,2,88,0,0,0,2
18th,sampleteam.MyFirstLeader,9227 (3%),9100,0,0,0,127,0,0,0,0
19th,sample.Target,7429 (3%),7400,0,0,0,29,0,0,0,0
20th,sampleteam.MyFirstDroid,6900 (2%),6900,0,0,0,0,0,0,0,0
21st,sample.SittingDuck,6450 (2%),6450,0,0,0,0,0,0,0,0
22nd,sampleex.Slave,0 (0%),0,0,0,0,0,0,0,0,0
$
