03-abr-2014 20:03:14
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,mynoxerr.Noxerr*,13799 (10%),8500,600,4178,397,124,0,3,2,0
2nd,sample.SpinBot,13721 (10%),9100,400,3698,315,208,0,2,2,4
3rd,sample.Walls,10006 (7%),6600,600,2582,152,54,18,3,3,0
4th,sample.RamFire,8215 (6%),4750,0,2270,43,816,335,0,1,0
5th,sample.Tracker,8097 (6%),5300,200,2225,197,149,26,1,0,1
6th,sample.Fire,7528 (6%),6050,0,1434,33,11,0,0,0,1
7th,sample.Crazy,7015 (5%),5950,0,882,12,172,0,0,1,0
8th,sampleex.AlienComposition,7013 (5%),6150,0,807,16,40,0,0,1,0
9th,sample.MyFirstJuniorRobot,6336 (5%),5400,0,875,10,52,0,0,0,1
10th,sampleex.Alien,5970 (4%),5250,0,684,0,36,0,0,0,2
11th,sampleex.ProxyOfGreyEminence,5675 (4%),5000,0,625,12,38,0,0,0,0
12th,dummy.Dummy*,5632 (4%),4750,0,818,28,36,0,0,0,0
13th,sample.PaintingRobot,5395 (4%),4600,200,552,5,37,0,1,0,0
14th,sampleex.MasterAndSlave,5049 (4%),4450,0,564,1,34,0,0,0,1
15th,sample.MyFirstRobot,4901 (4%),4350,0,526,4,20,0,0,0,0
16th,sampleteam.MyFirstLeader,4837 (4%),4800,0,0,0,37,0,0,0,0
17th,sample.TrackFire,4612 (3%),2950,0,1505,156,0,0,0,0,0
18th,sample.Corners,4126 (3%),3050,0,1054,18,4,0,0,0,0
19th,sample.Target,3310 (2%),3300,0,0,0,10,0,0,0,0
20th,sampleteam.MyFirstDroid,2400 (2%),2400,0,0,0,0,0,0,0,0
21st,sample.SittingDuck,2250 (2%),2250,0,0,0,0,0,0,0,0
$
